"Numéro de mesure","Longitude","    Latitude","Position","Insee","Adresse","Complément","Code postal","Commune","Date de mesure","Mesure réalisée","Rapport","Conformité de la mesure","target","Niveau global","Type d'environnement","Laboratoire"
175,3.91611,43.58528,"03° 54' 58.00'' Est, 43° 35' 07.00'' Nord",34129,"Mas de Gau",,34970,"LATTES","06/12/2001","En extérieur","FicheMesure175.pdf","Oui",1,0.23,"Divers","SATELIT"
180,4.04194,43.64694,"04° 02' 31.00'' Est, 43° 38' 49.00'' Nord",34176,"5539 Rue Lou Claou de la Oulivettas",,34130,"MUDAISON","06/12/2001","En extérieur","FicheMesure180.pdf","Oui",1,0.22,"Divers","SATELIT"
543,3.03167,43.36028,"03° 01' 54.00'' Est, 43° 21' 37.00'' Nord",34225,"Chemin de Montfaucon","résidence de  Mme SOUTADE",34620,"PUISSERGUIER","23/05/2002","En extérieur","FicheMesure543.pdf","Oui",1,0.54,"Divers","APAVE"
545,3.03278,43.36167,"03° 01' 58.00'' Est, 43° 21' 42.00'' Nord",34225,"Chemin de Quarante","résidence de  M. GONZALEZ",34620,"PUISSERGUIER","23/05/2002","En extérieur","FicheMesure545.pdf","Oui",1,5.55,"Divers","APAVE"
850,3.56444,43.64583,"03° 33' 52.00'' Est, 43° 38' 45.00'' Nord",34114,"480 Chemin de Pioch Courbi","Chez Mme et M. GALOIS",34150,"GIGNAC","10/10/2002","En extérieur","FicheMesure850.pdf","Oui",0,6.89,"Rue / Route / Parking","APAVE"
851,3.56306,43.64806,"03° 33' 47.00'' Est, 43° 38' 53.00'' Nord",34114,"Vieux chemin","Chez Mme et M. HERMITTE.",34150,"GIGNAC","10/10/2002","En extérieur","FicheMesure851.pdf","Oui",0,6.9,"Rue / Route / Parking","APAVE"
852,3.56306,43.64694,"03° 33' 47.00'' Est, 43° 38' 49.00'' Nord",34114,"401 Chemin de Pioch Courbi","Chez Mme et M. EON.",34150,"GIGNAC","10/10/2002","En extérieur","FicheMesure852.pdf","Oui",1,5.99,"Rue / Route / Parking","APAVE"
1072,3.91611,43.585,"03° 54' 58.00'' Est, 43° 35' 06.00'' Nord",34129,"Château d'eau de Boirargues","Au pied du château d'eau.",34970,"LATTES","22/01/2003","En extérieur","FicheMesure1072.pdf","Oui",0,6.7,"Rue / Route / Parking","CSTB - Saint Martin d'Heres"
1073,3.91667,43.58667,"03° 55' 00.00'' Est, 43° 35' 12.00'' Nord",34129,"Avenue de la Mer - Garage Tunning XXS","Au début du chemin donnant sur le château d'eau par la route de Carnon.",34970,"LATTES","22/01/2003","En extérieur","FicheMesure1073.pdf","Oui",1,0.22,"Rue / Route / Parking","CSTB - Saint Martin d'Heres"
1074,3.91889,43.58583,"03° 55' 08.00'' Est, 43° 35' 09.00'' Nord",34129,"Chemin des Mas de Gau","Au début de la piste cyclable donnant sur le chemin des Mas de Gau, le long de l'Avenue de la Mer.",34970,"LATTES","22/01/2003","En extérieur","FicheMesure1074.pdf","Oui",0,6.88,"Rue / Route / Parking","CSTB - Saint Martin d'Heres"
1115,3.20806,43.34861,"03° 12' 29.00'' Est, 43° 20' 55.00'' Nord",34032,"15 Rue des Cygnes","Sous le préau de la porte d'entrée de l'immeuble",34500,"BEZIERS","20/02/2003","En extérieur","FicheMesure1115.pdf","Oui",0,6.99,"Rue / Route / Parking","CSTB - Saint Martin d'Heres"
1193,3.8975,43.63806,"03° 53' 51.00'' Est, 43° 38' 17.00'' Nord",34057,"256 Chemin du Château d'eau","au pied du château d'eau devant l'entrée du 256.",34170,"CASTELNAU-LE-LEZ","13/03/2003","En extérieur","FicheMesure1193.pdf","Oui",0,6.35,"Rue / Route / Parking","CSTB - Saint Martin d'Heres"
